State,Source,Dates,Size,MOE,Trump,Biden
MO,We Ask America,"May 26–27, 2020",500,4.38,0.48,0.44
MO,Remington Research Group/Missouri Scout,"Feb 26–27, 2020",1050,,0.53,0.42
MO,American Viewpoint/Uniting Missouri[BU],"Jan 20–22, 2020",1200,,0.5,0.43
MO,Remington Research Group,"Sep 18–19, 2019",1046,3,0.53,0.42
MO,Remington Research Group,"Apr 10–11, 2019",955,3.3,0.51,0.43
MT,Public Policy Polling,"Oct 9–10, 2020",798,3.5,0.52,0.46
MT,Emerson College,"Oct 4–7, 2020",500,3.7,0.56,0.44
MT,Data For Progress (D),"Sep 30 – Oct 5, 2020",737,3.6,0.49,0.43
MT,Montana State University Bozeman,"Sep 14 – Oct 2, 2020",1607,3.9,0.51,0.44
MT,SurveyMonkey/Tableau,"Sep 1–30, 2020",480,,0.57,0.41
MT,Siena College/NYT Upshot,"Sep 14–16, 2020",625,4.8,0.49,0.42
MT,Fabrizio Ward/Hart Research Associates/AARP,"Aug 30 – Sep 5, 2020",800,3.5,0.5,0.43
MT,SurveyMonkey/Tableau,"Aug 1–31, 2020",562,,0.52,0.46
MT,Expedition Strategies/House Majority PAC[BV],"Aug 22–27, 2020",400,4.9,0.48,0.44
MT,Emerson College,"Jul 31 – Aug 2, 2020",584,4,0.54,0.46
MT,SurveyMonkey/Tableau,"Jul 1–31, 2020",527,,0.53,0.44
MT,Public Policy Polling/AFSCME[BW],"Jul 23–24, 2020",917,,0.5,0.45
MT,Spry Strategies/American Principles Project[BX],"Jul 11–16, 2020",700,3.7,0.52,0.42
MT,Civiqs/Daily Kos,"Jul 11–13, 2020",873,4.2,0.49,0.45
MT,Public Policy Polling/Election Twitter,"Jul 9–10, 2020",1224,2.8,0.51,0.42
MT,SurveyMonkey/Tableau,"Jun 8–30, 2020",166,,0.57,0.41
MT,University of Montana,"Jun 17–26, 2020",517,4.3,0.52,0.38
MT,Montana State University Bozeman,"Apr 10–27, 2020",459,4.6,0.45,0.4
MT,The Progress Campaign (D),"Apr 14–21, 2020",1712,4.6,0.51,0.42
MT,University of Montana,"Feb 12–22, 2020",498,4.4,0.56,0.34
NE,SurveyMonkey/Tableau,"Sep 1–30, 2020",799,,0.57,0.41
NE,SurveyMonkey/Tableau,"Aug 1–31, 2020",560,,0.53,0.47
NE,SurveyMonkey/Tableau,"Jul 1–31, 2020",910,,0.54,0.44
NE,SurveyMonkey/Tableau,"Jun 8–30, 2020",267,,0.56,0.42
NV,WPA Intelligence/Las Vegas Review-Journal/AARP,"Oct 7–11, 2020",512,4.4,0.42,0.44
NV,YouGov/CBS,"Oct 6–9, 2020",1036,4.1,0.46,0.52
NV,Siena College/NYT Upshot,"Oct 2–6, 2020",660,4.3,0.42,0.48
NV,SurveyMonkey/Tableau,"Sep 1–30, 2020",1239,,0.47,0.51
NV,Pulse Opinion Research/Rasmussen Reports/American Greatness PAC[CD],"Sep 23–25, 2020",750,,0.48,0.49
NV,Qualtrics/University of Nevada/BUSR,"Sep 10–25, 2020",641,4,0.41,0.46
NV,Fox News,"Sep 20–23, 2020",810,3,0.41,0.52
NV,ALG Research/The Nevada Independent (D)[CE],"Sep 15–21, 2020",800,3.5,0.43,0.47
NV,Siena College/NYT Upshot,"Sep 8–10, 2020",462,5.3,0.42,0.46
NV,SurveyMonkey/Tableau,"Aug 1–31, 2020",998,,0.49,0.5
NV,Qualtrics/University of Nevada/BUSR,"Aug 20–30, 2020",682,4,0.39,0.44
NV,SurveyMonkey/Tableau,"Jul 1–31, 2020",1021,,0.52,0.47
NV,SurveyMonkey/Tableau,"Jun 8–30, 2020",609,,0.49,0.5
NV,ALG Research/The Nevada Independent (D)[CF],"Apr 27–30, 2020",763,3.6,0.45,0.49
NV,AtlasIntel,"Feb 19–21, 2020",1100,3,0.41,0.44
NV,FOX News,"Jan 5–8, 2020",1505,2.5,0.39,0.47
NV,FOX News,"Nov 10–13, 2019",1506,2.5,0.4,0.47
NV,Emerson College,"Oct 31 – Nov 2, 2019",1089,2.9,0.51,0.49
NV,Gravis Marketing,"Aug 14–16, 2019",926,3.2,0.43,0.49
NH,University of New Hampshire,"Oct 9–12, 2020",899,3.3,0.43,0.55
NH,Suffolk University/Boston Globe,"Oct 8–12, 2020",500,4.4,0.41,0.51
NH,Saint Anselm College,"Oct 1–4, 2020",1147,2.9,0.41,0.53
NH,Emerson College,"Sep 30 – Oct 1, 2020",700,3.6,0.45,0.53
NH,SurveyMonkey/Tableau,"Sep 1–30, 2020",637,,0.43,0.55
NH,American Research Group,"Sep 25–28, 2020",600,4,0.44,0.53
NH,University of New Hampshire,"Sep 24–28, 2020",972,3.1,0.44,0.53
NH,Pulse Opinion Research/Center for American Greatness[CG],"Sep 23–25, 2020",850,4,0.42,0.56
NH,YouGov/UMass Lowell,"Sep 17–25, 2020",657,4.6,0.44,0.52
NH,Siena College/NYT Upshot,"Sep 8–11, 2020",445,5.5,0.42,0.45
NH,SurveyMonkey/Tableau,"Aug 1–31, 2020",444,,0.39,0.6
NH,Saint Anselm College,"Aug 15–17, 2020",1042,3,0.43,0.51
NH,SurveyMonkey/Tableau,"Jul 1–31, 2020",574,,0.39,0.6
NH,University of New Hampshire,"Jul 16–28, 2020",1893,2.3,0.4,0.53
NH,SurveyMonkey/Tableau,"Jun 8–30, 2020",191,,0.39,0.61
NH,University of New Hampshire,"Jun 18–22, 2020",936,,0.39,0.52
NH,Saint Anselm College,"Jun 13–16, 2020",1072,3,0.42,0.49
NH,University of New Hampshire,"May 14–18, 2020",790,,0.46,0.44
NH,Saint Anselm College,"Apr 23–27, 2020",820,3.4,0.42,0.5
NJ,Stockton College,"Oct 7–13, 2020",721,,0.36,0.56
NJ,Fairleigh Dickinson University,"Sep 30 – Oct 5, 2020",582,4.6,0.38,0.53
NJ,SurveyMonkey/Tableau,"Sep 1–30, 2020",2952,,0.37,0.6
NJ,DKC Analytics/Brach Eichler,"Sep 8–16, 2020",501,4.4,0.38,0.52
NJ,Emerson College,"Sep 4–7, 2020",500,4.4,0.4,0.58
NJ,SurveyMonkey/Tableau,"Aug 1–31, 2020",2309,,0.4,0.57
NJ,DKC Analytics/Brach Eichler,"Aug 5–13, 2020",500,4.383,0.33,0.52
NJ,SurveyMonkey/Tableau,"Jul 1–31, 2020",2426,,0.37,0.61
NJ,Pollfish/DKC Analytics/Brach Eichler,"Jul 7–12, 2020",500,4.383,0.33,0.51
NJ,SurveyMonkey/Tableau,"Jun 8–30, 2020",1110,,0.37,0.61
NJ,Quinnipiac,"Apr 30 – May 4, 2020",941,3.2,0.35,0.54
NJ,Rutgers-Eagleton,"Apr 22 – May 2, 2020",689,4.2,0.33,0.56
NJ,Monmouth University,"Apr 16–19, 2020",635,3.9,0.38,0.54
NJ,Fairleigh Dickinson University,"Feb 12–16, 2020",715,,0.35,0.53
NM,Public Policy Polling/NM Political Report,"Sep 30 – Oct 1, 2020",886,,0.39,0.53
NM,SurveyMonkey/Tableau,"Sep 1–30, 2020",1015,,0.44,0.54
NM,Research & Polling Inc./Albuquerque Journal,"Aug 26 – Sep 2, 2020",1123,2.9,0.39,0.54
NM,SurveyMonkey/Tableau,"Aug 1–31, 2020",1087,,0.43,0.56
NM,SurveyMonkey/Tableau,"Jul 1–31, 2020",904,,0.48,0.49
NM,SurveyMonkey/Tableau,"Jun 8–30, 2020",506,,0.5,0.49
NM,Public Policy Polling/NM Political Report,"Jun 12–13, 2020",740,3.6,0.39,0.53
NM,Public Policy Polling/The Majority Institute[CH],"Apr 20–21, 2020",1091,3.1,0.4,0.52
NM,Emerson College,"Jan 3–6, 2020",967,3.1,0.46,0.54
NY,SurveyMonkey/Tableau,"Sep 1–30, 2020",10007,,0.34,0.64
NY,Siena College,"Sep 27–29, 2020",504,4.4,0.29,0.61
NY,SurveyMonkey/Tableau,"Aug 1–31, 2020",9969,,0.34,0.64
NY,PPP,"Aug 20–22, 2020",1029,3.1,0.32,0.63
NY,SurveyMonkey/Tableau,"Jul 1–31, 2020",10280,,0.34,0.63
NY,SurveyMonkey/Tableau,"Jun 8–30, 2020",4555,,0.33,0.65
NY,Siena College,"Jun 23–25, 2020",806,3.9,0.32,0.57
NY,Siena College,"May 17–21, 2020",767,3.7,0.32,0.57
NY,Quinnipiac University,"Apr 30 – May 4, 2020",915,3.2,0.32,0.55
NY,Siena College,"Apr 19–23, 2020",803,3.7,0.29,0.65
NY,Siena College,"Mar 22–26, 2020",566,4.5,0.33,0.58
NY,Siena College,"Feb 16–20, 2020",658,4.5,0.36,0.55
NC,Emerson College,"Oct 11–14, 2020",721,3.6,0.49,0.49
NC,Civiqs/Daily Kos,"Oct 11–14, 2020",1211,3.3,0.46,0.51
NC,Siena College/NYT Upshot,"Oct 9–13, 2020",627,4.5,0.42,0.46
NC,Ipsos/Reuters,"Oct 7–13, 2020",660,4.3,0.48,0.48
NC,Monmouth University,"Oct 8–11, 2020",500,4.4,0.46,0.49
NC,SurveyUSA/WRAL-TV,"Oct 8–11, 2020",669,4.8,0.45,0.5
NC,Susquehanna Polling & Research Inc./American Greatness PAC[CI],"Oct 7–11, 2020",500,4.3,0.46,0.48
NC,RMG Research/PoliticalIQ,"Oct 7–11, 2020",800,,0.45,0.47
NC,Morning Consult,"Oct 2–11, 2020",1993,2.2,0.46,0.5
NC,Redfield & Wilton Strategies,"Oct 4–6, 2020",938,3.2,0.44,0.49
NC,Ipsos/Reuters,"Sep 29 – Oct 6, 2020",693,4.2,0.47,0.47
NC,Public Policy Polling,"Oct 4–5, 2020",911,,0.46,0.5
NC,Data For Progress (D),"Sep 30 - Oct 5, 2020",1285,2.7,0.44,0.51
NC,Change Research/CNBC,"Oct 2–4, 2020",396,,0.47,0.49
NC,East Carolina University,"Oct 2–4, 2020",1232,3.2,0.46,0.5
ND,SurveyMonkey/Tableau,"Sep 1–30, 2020",249,,0.63,0.34
ND,DFM Research/North Dakota Voters First,"Sep 26–29, 2020",460,4.6,0.51,0.37
ND,DFM Research/North Dakota Voters First,"Sep 12–16, 2020",500,4.5,0.56,0.37
ND,SurveyMonkey/Tableau,"Aug 1–31, 2020",269,,0.66,0.32
ND,SurveyMonkey/Tableau,"Jul 1–31, 2020",261,,0.63,0.36
ND,SurveyMonkey/Tableau,"Jun 8–30, 2020",88,,0.71,0.28
ND,DFM Research,"Mar 3–5, 2020",400,4.9,0.55,0.38
ND,DFM Research,"Jan 28 – Feb 1, 2020",600,4,0.59,0.34
ND,1892 Polling/Doug Burgum[aai],"Jul 15–17, 2019",500,4.4,0.6,0.34
ND,DFM Research,"May 14–18, 2019",400,4.9,0.54,0.39
OH,Quinnipiac University,Oct 8–12,1160,2.9,0.47,0.48
OH,Civiqs/Rust Belt Rising[CV],Oct 8–11,586,4.2,0.5,0.47
OH,Morning Consult,Oct 2–11,2283,2.1,0.49,0.46
OH,Baldwin Wallace University,Sep 30 – Oct 8,1009,3.1,0.47,0.45
OH,Siena College/NYT Upshot,Oct 2–6,661,4.3,0.44,0.45
OH,Trafalgar Group,Oct 1–3,1035,2.97,0.48,0.44
OH,YouGov/CBS,Sep 30 – Oct 2,1114,3.7,0.47,0.47
OH,SurveyMonkey/Tableau,Sep 1–30,4012,,0.51,0.47
OH,Hart Research Associates/Human Rights Campaign[aar],Sep 24–27,400,4.9,0.49,0.47
OH,Fox News,Sep 20–23,830,3,0.45,0.5
OH,Quinnipiac University,Sep 17–21,1078,3,0.47,0.48
OH,Baldwin Wallace University,Sep 9–22,1011,3.3,0.44,0.45
OH,Civiqs/Rust Belt Rising[aav],Sep 11–15,556,4.3,0.48,0.45
OH,Morning Consult,Aug 29 – Sep 7,1963,4,0.5,0.45
OH,Pulse Opinion Research/Rasmussen Reports[42],Sep 1–2,1000,3,0.47,0.51
OH,ALG Research/Progressive Policy Institute[abb],Aug 26 – Sep 1,500,,0.46,0.48
OH,SurveyMonkey/Tableau,Aug 1–31,3220,,0.51,0.48
OH,Morning Consult,Aug 21–30,1811,4,0.5,0.45
OH,Civiqs/Rust Belt Rising[abc],Aug 13–17,631,,0.47,0.47
OK,SurveyMonkey/Tableau,"Sep 1–30, 2020",1174,,0.63,0.35
OK,Amber Integrated,"Sep 17–20, 2020",500,4.38,0.55,0.33
OK,SoonerPoll/News9[43],"Sep 2–8, 2020",486,4.45,0.6,0.35
OK,SurveyMonkey/Tableau,"Aug 1–31, 2020",1009,,0.64,0.35
OK,SurveyMonkey/Tableau,"Jul 1–31, 2020",1410,,0.64,0.34
OK,DFM Research/Abby Broyles for US Senate[abt],"Jul 29–30, 2020",572,4.1,0.56,0.36
OK,SurveyMonkey/Tableau,"Jun 8–30, 2020",591,,0.61,0.37
OK,Amber Integrated,"Jun 3–4, 2020",500,4.4,0.55,0.36
OK,Amber Integrated,"Mar 5–8, 2020",500,,0.57,0.33
OK,Cole Hargrave Snodgrass,"Feb 10–13, 2020",500,4.3,0.62,0.34
OR,HarrisX/The Hill,Oct 12–15,1289,,0.46,0.51
OR,Insider Advantage/Center for American Greatness[CW],Oct 12–13,400,4.9,0.43,0.46
OR,Trafalgar Group,Oct 10–12,1034,2.97,0.45,0.47
OR,RMG Research/PoliticalIQ,Oct 7–12,800,,0.43,0.49
OR,Civiqs/Rust Belt Rising[CX],Oct 8–11,600,4.2,0.45,0.52
OR,Ipsos/Reuters,Oct 6–11,622,4.5,0.45,0.51
OR,Morning Consult,Oct 2–11,2610,1.9,0.44,0.52
OR,Whitman Insight Strategies,Oct 5–9,517,4.3,0.46,0.51
OR,Baldwin Wallace University,Sep 30 – Oct 8,1140,3.1,0.45,0.5
OR,Redfield & Wilton Strategies,Oct 4–6,927,3.22,0.42,0.49
OR,Emerson College,Oct 4–5,688,3.7,0.47,0.51
OR,Quinnipiac University,Oct 1–5,1211,2.8,0.41,0.54
OR,Ipsos/Reuters,Sep 29 – Oct 5,605,4.5,0.45,0.5
OR,Change Research/CNBC,Oct 2–4,468,,0.46,0.5
OR,Monmouth University,Sep 30 – Oct 4,500,4.4,0.42,0.54
PA,HarrisX/The Hill,Oct 12–15,1289,,0.46,0.51
PA,Insider Advantage/Center for American Greatness,Oct 12–13,400,4.9,0.43,0.46
PA,Trafalgar Group,Oct 10–12,1034,2.97,0.45,0.47
PA,RMG Research/PoliticalIQ,Oct 7–12,800,,0.43,0.49
PA,Civiqs/Rust Belt Rising,Oct 8–11,600,4.2,0.45,0.52
PA,Ipsos/Reuters,Oct 6–11,622,4.5,0.45,0.51
PA,Morning Consult,Oct 2–11,2610,1.9,0.44,0.52
PA,Whitman Insight Strategies,Oct 5–9,517,4.3,0.46,0.51
PA,Baldwin Wallace University,Sep 30 – Oct 8,1140,3.1,0.45,0.5
RI,SurveyMonkey/Tableau,"Sep 1–30, 2020",351,,0.37,0.62
RI,SurveyMonkey/Tableau,"Aug 1–31, 2020",208,,0.41,0.57
RI,SurveyMonkey/Tableau,"Jul 1–31, 2020",253,,0.39,0.6
RI,SurveyMonkey/Tableau,"Jun 8–30, 2020",176,,0.4,0.6
SC,New York Times/Siena College[46],"Oct 9–14, 2020",605,,0.49,0.41
SC,Data for Progress,"Oct 8–11, 2020",801,3.5,0.52,0.43
SC,Morning Consult,"Oct 2–11, 2020",903,3,0.54,0.42
SC,SurveyMonkey/Tableau,"Sep 1–30, 2020",1833,,0.53,0.45
SC,GBAO Strategies/DSCC[DQ],"Sep 24–28, 2020",800,3.5,0.49,0.44
SC,Data for Progress (D),"Sep 23–28, 2020",824,3.4,0.47,0.43
SC,Quinnipiac University,"Sep 23–27, 2020",1123,2.9,0.48,0.47
SC,YouGov/CBS,"Sep 22–25, 2020",1080,3.8,0.52,0.42
SC,Morning Consult,"Sep 11–20, 2020",764,4,0.5,0.44
SC,Quinnipiac University,"Sep 10–14, 2020",969,3.2,0.51,0.45
SC,Morning Consult,"Sep 2–11, 2020",764,4,0.51,0.44
SC,Morning Consult,"Aug 23 – Sep 1, 2020",764,4,0.52,0.42
SC,SurveyMonkey/Tableau,"Aug 1–31, 2020",1326,,0.53,0.45
SC,Morning Consult,"Aug 13–22, 2020",764,4,0.51,0.43
SC,Morning Consult,"Aug 3–12, 2020",764,4,0.5,0.43
SD,SurveyMonkey/Tableau,"Sep 1–30, 2020",354,,0.58,0.41
SD,SurveyMonkey/Tableau,"Aug 1–31, 2020",277,,0.59,0.38
SD,SurveyMonkey/Tableau,"Jul 1–31, 2020",396,,0.62,0.35
SD,SurveyMonkey/Tableau,"Jun 8–30, 2020",160,,0.61,0.37
TN,SurveyMonkey/Tableau,"Sep 1–30, 2020",2329,,0.58,0.41
TN,SurveyMonkey/Tableau,"Aug 1–31, 2020",1796,,0.59,0.4
TN,SurveyMonkey/Tableau,"Jul 1–31, 2020",2481,,0.61,0.38
TN,SurveyMonkey/Tableau,"Jun 8–30, 2020",1092,,0.61,0.37
TN,SSRS/Vanderbilt University,"May 5–22, 2020",1000,3.8,0.51,0.42
TN,East Tennessee State University,"Apr 22 – May 1, 2020",536,,0.53,0.36
TN,Mason-Dixon,"Jan 28–30, 2020",625,4,0.55,0.39
TX,Morning Consult[48],"Oct 2–11, 2020",3455,1.7,0.49,0.47
TX,PPP/Texas Democrats[DU],"Oct 7–8, 2020",721,3.6,0.48,0.48
TX,Morning Consult,"Sep 28 – Oct 7, 2020",2700,2,0.49,0.46
TX,Pulse Opinion Research/Rasmussen Reports/Crosswind PR,"Oct 5–6, 2020",1000,3,0.51,0.44
TX,Civiqs/Daily Kos,"Oct 3–6, 2020",895,3.4,0.48,0.48
TX,Data For Progress (D),"Sep 30 – Oct 5, 2020",1949,2.2,0.45,0.47
TX,YouGov/University of Texas/Texas Tribune,"Sep 25 – Oct 4, 2020",908,3.25,0.5,0.45
TX,EMC Research/Blue Texas PAC[DV],"Sep 27 – Oct 2, 2020",848,,0.49,0.49
TX,SurveyMonkey/Tableau,"Sep 1–30, 2020",13395,,0.52,0.46
TX,Hart Research Associates/Human Rights Campaign[DW],"Sep 24–27, 2020",400,4.9,0.49,0.47
TX,Morning Consult,"Sep 18–27, 2020",2700,2,0.48,0.47
TX,PPP/Texas Democrats[49][DX],"Sep 25–26, 2020",612,3.6,0.48,0.48
TX,YouGov/UMass Lowell,"Sep 18–25, 2020",882,4.3,0.49,0.46
TX,Data For Progress[DY],"Sep 18–22, 2020",726,3.6,0.47,0.45
TX,Siena College/NYT Upshot,"Sep 16–22, 2020",653,4.3,0.46,0.43
TX,Quinnipiac University,"Sep 17–21, 2020",1078,3,0.5,0.45
TX,YouGov/CBS,"Sep 15–18, 2020",1129,3.5,0.48,0.46
TX,Morning Consult,"Sep 8–17, 2020",2700,2,0.47,0.47
TX,Morning Consult,"Aug 29 – Sep 7, 2020",2829,2,0.46,0.46
UT,Y2 Analytics/Salt Lake Tribune,"Sep 26 – Oct 4, 2020",1214,2.8,0.5,0.4
UT,SurveyMonkey/Tableau,"Sep 1–30, 2020",1192,,0.56,0.42
UT,RMG Research/Deseret News/Hinckley Institute of Politics,"Sep 7–12, 2020",1000,3.1,0.53,0.35
UT,SurveyMonkey/Tableau,"Aug 1–31, 2020",893,,0.57,0.41
UT,RMG Research/Scott Rasmussen/Deseret News,"Jul 27 – Aug 1, 2020",1000,3.1,0.5,0.31
UT,SurveyMonkey/Tableau,"Jul 1–31, 2020",1037,,0.58,0.4
UT,SurveyMonkey/Tableau,"Jun 8–30, 2020",412,,0.57,0.41
UT,Y2 Analytics/UtahPolicy.com/KUTV 2,"May 9–15, 2020",1099,3,0.44,0.41
UT,Scott Rasmussen/Deseret News,"Apr 15–21, 2020",964,3.2,0.51,0.32
UT,Y2 Analytics,"Mar 21–30, 2020",1266,2.8,0.46,0.41
UT,Scott Rasmussen/Deseret News,"Feb 24 – Mar 1, 2020",1000,3.1,0.5,0.33
UT,Scott Rasmussen/Deseret News,"Jan 15–22, 2020",1017,3.1,0.49,0.31
UT,Y2 Analytics,"Jul 31 – Aug 6, 2019",149,,0.36,0.35
VT,SurveyMonkey/Tableau,"Sep 1–30, 2020",427,,0.34,0.64
VT,Braun Research/VPR,"Sep 3–15, 2020",582,4,0.32,0.56
VT,SurveyMonkey/Tableau,"Aug 1–31, 2020",236,,0.29,0.7
VT,SurveyMonkey/Tableau,"Jul 1–31, 2020",368,,0.27,0.71
VT,SurveyMonkey/Tableau,"Jun 8–30, 2020",113,,0.2,0.75
VA,Civiqs/Daily Kos,"Oct 11–14, 2020",1231,3.1,0.42,0.55
VA,Reconnect Research/Roanoke College,"Sep 30 – Oc 12, 2020",602,,0.39,0.54
VA,Survey Monkey/Tableau,"Sep 15 – Oct 12, 2020",4248,,0.43,0.55
VA,SurveyMonkey/Tableau,"Sep 1–30, 2020",2882,,0.42,0.56
VA,Christopher Newport University,"Sep 9–21, 2020",796,3.9,0.43,0.48
VA,Virginia Commonwealth University,"Aug 28 – Sep 7, 2020",693,6.22,0.39,0.52
VA,SurveyMonkey/Tableau,"Aug 1–31, 2020",2626,,0.41,0.57
VA,Roanoke College,"Aug 9–22, 2020",566,4.1,0.39,0.53
VA,SurveyMonkey/Tableau,"Jul 1–31, 2020",3178,,0.43,0.55
VA,Morning Consult,"Jul 17–26, 2020",1156,2.9,0.41,0.52
VA,Virginia Commonwealth University,"Jul 11–19, 2020",725,6.2,0.39,0.5
VA,SurveyMonkey/Tableau,"Jun 8–30, 2020",1619,,0.42,0.57
VA,Morning Consult,"May 17–26, 2020",1148,,0.42,0.52
VA,Roanoke College,"May 3–16, 2020",563,4.1,0.39,0.51
VA,Virginia Commonwealth University,"Mar 25 – Apr 8, 2020",812,4.5,0.41,0.51
VA,Hampton University,"Feb 25–28, 2020",768,3.8,0.38,0.45
VA,Roanoke College,"Feb 9–18, 2020",520,4.3,0.4,0.48
VA,Mason-Dixon,"Dec 12–16, 2019",625,4,0.45,0.49
VA,Virginia Commonwealth University,"Dec 2–13, 2019",728,5.1,0.46,0.49
VA,Virginia Commonwealth University,"Sep 23 – Oct 4, 2019",645,5,0.44,0.52
WA,SurveyUSA/KING-TV,"Oct 8–10, 2020",591,5.2,0.34,0.55
WA,SurveyMonkey/Tableau,"Sep 1–30, 2020",7953,,0.35,0.64
WA,Strategies 360,"Sep 8–14, 2020",501,4.4,0.36,0.58
WA,SurveyMonkey/Tableau,"Aug 1–31, 2020",7489,,0.37,0.61
WA,SurveyMonkey/Tableau,"Jul 1–31, 2020",7691,,0.37,0.62
WA,SurveyUSA/KING-TV,"Jul 22–27, 2020",534,5.2,0.28,0.62
WA,SurveyMonkey/Tableau,"Jun 8–30, 2020",3939,,0.36,0.62
WA,Public Policy Polling/NPI,"May 19–20, 2020",1070,3,0.37,0.59
WA,SurveyUSA/KING-TV,"May 16–19, 2020",530,5.5,0.31,0.57
WA,EMC Research,"Mar 31 – Apr 6, 2020",583,4.1,0.39,0.52
WA,SurveyUSA/KING-TV,"Mar 4–6, 2020",992,3.8,0.34,0.57
WA,Public Policy Polling/The Cascadia Advocate,"Oct 22–23, 2019",900,3.3,0.37,0.59
WA,Zogby Interactive/JZ Analytics,"Jul 22 – Aug 1, 2019",1265,2.8,0.31,0.52
WV,Research America Inc./West Virginia Metro News,"Oct 6–9, 2020",450,4.6,0.53,0.39
WV,Triton Polling & Research/WMOV,"Sep 29–30, 2020[akq]",525,4.3,0.56,0.38
WV,SurveyMonkey/Tableau,"Sep 1–30, 2020",516,,0.62,0.36
WV,SurveyMonkey/Tableau,"Aug 1–31, 2020",496,,0.65,0.32
WV,SurveyMonkey/Tableau,"Jul 1–31, 2020",494,,0.67,0.32
WV,SurveyMonkey/Tableau,"Jun 8–30, 2020",264,,0.72,0.27
WV,WPA Intelligence/Club for Growth[EJ],"Jan 7–9, 2020",500,4.4,0.66,0.31
WI,Trafalgar Group/Restoration PAC[EK],Oct 11–13,1043,2.95,0.45,0.47
WI,David Binder Research/Focus on Rural America,Oct 10–13,200,,0.43,0.53
WI,Civiqs/Rust Belt Rising[EL],Oct 8–11,560,4.4,0.45,0.53
WI,Siena College/NYT Upshot,Oct 8–11,789,4,0.41,0.51
WI,Ipsos/Reuters,Oct 6–11,577,4.7,0.45,0.51
WI,Morning Consult,Oct 2–11,1067,3,0.44,0.51
WI,Baldwin Wallace University,Sep 30 – Oct 8,883,3.4,0.43,0.49
WI,Redfield & Wilton Strategies,Oct 4–7,688,3.74,0.41,0.51
WI,Ipsos/Reuters,Sep 29 – Oct 5,601,4.6,0.44,0.5
WI,Change Research/CNBC,Oct 2–4,442,,0.44,0.51
WI,Marquette Law School,Sep 30 – Oct 4,805,,0.41,0.46
WI,Marquette Law School,Sep 30 – Oct 4,700,,0.42,0.47
WI,SurveyMonkey/Tableau,Sep 1–30,3806,,0.44,0.53
WI,Trafalgar Group/Restoration PAC[EM],Sep 25–28,1084,2.89,0.44,0.47
WI,Redfield & Wilton Strategies,Sep 23–27,663,3.81,0.43,0.48
WI,Susquehanna Polling & Research Inc./Center for American Greatness[EN],Sep 23–26,500,4.3,0.46,0.48
WI,Trafalgar Group (R),Sep 22–24,1189,2.76,0.45,0.48
WI,Marist College/NBC,Sep 20–24,727,4.6,0.44,0.54
WI,Baldwin Wallace University,Sep 9–22,863,3.7,0.41,0.5
WY,SurveyMonkey/Tableau,"Sep 1–30, 2020",236,,0.65,0.34
WY,SurveyMonkey/Tableau,"Aug 1–31, 2020",211,,0.74,0.25
WY,SurveyMonkey/Tableau,"Jul 1–31, 2020",246,,0.7,0.28
WY,SurveyMonkey/Tableau,"Jun 8–30, 2020",98,,0.78,0.22
